""2018-05-09 15:22:11 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3964f9b9, org.springframework.security.web.context.SecurityContextPersistenceFilter@5acc6f88, org.springframework.security.web.header.HeaderWriterFilter@1685d74f, org.springframework.security.web.authentication.logout.LogoutFilter@4c64dd20, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7d8df78e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1643bd4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@269d77f7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@8ca0250, org.springframework.security.web.session.SessionManagementFilter@56ec7c67, org.springframework.security.web.access.ExceptionTranslationFilter@3f82465, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@79c1fb1b]
""2018-05-09 15:22:12 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2018-05-09 15:22:12 [main] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http)
""2018-05-09 15:22:12 [main] INFO  handyman.WebApplication - Started WebApplication in 5.162 seconds (JVM running for 8.08)
""2018-05-09 15:22:26 [http-nio-8080-exec-2] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
""2018-05-09 15:22:26 [http-nio-8080-exec-2] INFO  handyman.OrderController - Zobrazenie všetkých požiadaviek od používate¾ov
""2018-05-09 15:22:27 [http-nio-8080-exec-2] INFO  org.hibernate.hql.internal.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
""2018-05-09 15:22:27 [http-nio-8080-exec-2] INFO  handyman.OrderController - Ukonèenie controllera pre zobrazenie požiadaviek od všetkých používate¾ov
""2018-05-09 15:23:09 [http-nio-8080-exec-9] INFO  handyman.OrderController - Zobrazenie všetkých požiadaviek od používate¾ov
""2018-05-09 15:23:09 [http-nio-8080-exec-9] INFO  handyman.OrderController - Ukonèenie controllera pre zobrazenie požiadaviek od všetkých používate¾ov
